Epoch,Total Steps,Avg Training Loss,Avg Validation Loss,Time per Epoch (seconds),Generated Sentence,Resource
1,345,5.504606774924458,5.79018899668818,2298.3854892253876,Discuss the importance of hydration and electrolyte balance in military nutrition.� the  of and the of.� the of.� the.�.�.�.�.�.�.,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf, FoodServ_ARN7458_R30_22_FINAL.pdf, Nutrition_AR40-25_WEB_Final.pdf, FirstAid_FM4-25.11.pdf, fm4_40_QUARTERMASTER OPERATIONS.pdf"
2,345,4.414744270020637,5.509979154752648,1382.1690768003464,Discuss the importance of hydration and electrolyte balance in military nutrition.Nut ration the of and the of are to the of and the of.rition the of and the of ritional.rition the of and the of.rition the of.,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf, FoodServ_ARN7458_R30_22_FINAL.pdf, Nutrition_AR40-25_WEB_Final.pdf, FirstAid_FM4-25.11.pdf, fm4_40_QUARTERMASTER OPERATIONS.pdf"
3,345,3.897242022251737,5.4179449657311185,994.9635234673818,Discuss the importance of hydration and electrolyte balance in military nutrition.() -. the of and of are to in with and the of are to with rition rition rition .rition rition rition rition rition,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf, FoodServ_ARN7458_R30_22_FINAL.pdf, Nutrition_AR40-25_WEB_Final.pdf, FirstAid_FM4-25.11.pdf, fm4_40_QUARTERMASTER OPERATIONS.pdf"
1,691,2.857000098042136,2.9115659384418735,1622.0301642417908,Discuss the importance of hydration and electrolyte balance in military nutrition. Nutrition and Warfighter Nutrition Nutrition is the study of the body’s internal and external systems. It is the study of the body’s internal,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf, FoodServ_ARN7458_R30_22_FINAL.pdf, Nutrition_AR40-25_WEB_Final.pdf, FirstAid_FM4-25.11.pdf, fm4_40_QUARTERMASTER OPERATIONS.pdf"
2,150,2.0742261560757953,2.924406271714431,850.4193494319916,Discuss the importance of hydration and electrolyte balance in military nutrition. Nutrition and menu standards for military menu standards. Nutrition and menu standards for military menu standards. Nutrition and menu standards for military menu standards. Nutrition,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf, FoodServ_ARN7458_R30_22_FINAL.pdf, Nutrition_AR40-25_WEB_Final.pdf, FirstAid_FM4-25.11.pdf, fm4_40_QUARTERMASTER OPERATIONS.pdf"
1,691,2.857000098042136,2.9115659384418735,1130.9430496692657,Discuss the importance of hydration and electrolyte balance in military nutrition. Nutrition and Warfighter Nutrition Nutrition is the study of the body’s internal and external systems. It is the study of the body’s internal,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf, FoodServ_ARN7458_R30_22_FINAL.pdf, Nutrition_AR40-25_WEB_Final.pdf, FirstAid_FM4-25.11.pdf, fm4_40_QUARTERMASTER OPERATIONS.pdf"
2,150,2.0742261560757953,2.924406271714431,604.6830283403397,Discuss the importance of hydration and electrolyte balance in military nutrition. Nutrition and menu standards for military menu standards. Nutrition and menu standards for military menu standards. Nutrition and menu standards for military menu standards. Nutrition,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf, FoodServ_ARN7458_R30_22_FINAL.pdf, Nutrition_AR40-25_WEB_Final.pdf, FirstAid_FM4-25.11.pdf, fm4_40_QUARTERMASTER OPERATIONS.pdf"
1,691,2.857000098042136,2.912928363461515,409.842529296875,Discuss the importance of hydration and electrolyte balance in military nutrition. Nutrition and Warfighter Nutrition Nutrition is the study of the body’s internal and external systems. It is the study of the body’s internal,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf, FoodServ_ARN7458_R30_22_FINAL.pdf, Nutrition_AR40-25_WEB_Final.pdf, FirstAid_FM4-25.11.pdf, fm4_40_QUARTERMASTER OPERATIONS.pdf"
2,691,1.9761275306624373,2.992518437917217,410.3316652774811,Discuss the importance of hydration and electrolyte balance in military nutrition. (cid:122) Consider the nutritional needs of Soldiers and their families. (cid:122) Be aware of the nutritional needs of Soldiers and their families.,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf, FoodServ_ARN7458_R30_22_FINAL.pdf, Nutrition_AR40-25_WEB_Final.pdf, FirstAid_FM4-25.11.pdf, fm4_40_QUARTERMASTER OPERATIONS.pdf"
3,691,1.3636519823509083,3.1459742061653633,410.24917276700336,Discuss the importance of hydration and electrolyte balance in military nutrition. Nutrient timing. Process nutrition timing to optimize performance during training and/or performance assessments. Energy. Process energy requirements to meet energy needs during physical activity and mental,"ArtOfWar.pdf, BlueBookTP600-4.pdf, LDRSHIP_ARN36735-FM_6-22-000-WEB-1.pdf, DrillandCer_ARN32297-TC_3-21.5-000-WEB-1.pdf, PhysFitARN30964-FM_7-22-001-WEB-4.pdf, FoodServ_ARN7458_R30_22_FINAL.pdf, Nutrition_AR40-25_WEB_Final.pdf, FirstAid_FM4-25.11.pdf, fm4_40_QUARTERMASTER OPERATIONS.pdf"
